CPU (user): 5403.15625	CPU (sys): 3509.234375	RAM: 291.4921875
CPU (user): 5417.59375	CPU (sys): 3519.484375	RAM: 288.33203125
CPU (user): 5422.8125	CPU (sys): 3525.328125	RAM: 290.4765625
CPU (user): 5432.3125	CPU (sys): 3532.953125	RAM: 289.16015625
CPU (user): 5444.3125	CPU (sys): 3540.59375	RAM: 285.55859375
CPU (user): 5458.140625	CPU (sys): 3552.40625	RAM: 290.82421875
CPU (user): 5516.796875	CPU (sys): 3588.203125	RAM: 313.57421875
CPU (user): 5529.453125	CPU (sys): 3598.015625	RAM: 264.48046875
CPU (user): 5573.484375	CPU (sys): 3627.6875	RAM: 273.484375
CPU (user): 5581.6875	CPU (sys): 3634.34375	RAM: 264.48046875
CPU (user): 5595.171874999999	CPU (sys): 3644.5625	RAM: 289.32421875
CPU (user): 5613.140624999999	CPU (sys): 3656.6875	RAM: 289.1796875
CPU (user): 5631.843749999999	CPU (sys): 3669.0625	RAM: 291.4921875
CPU (user): 5649.796874999999	CPU (sys): 3681.734375	RAM: 264.0546875
CPU (user): 5708.874999999999	CPU (sys): 3716.671875	RAM: 300.49609375
CPU (user): 5732.718749999999	CPU (sys): 3731.84375	RAM: 264.4765625
CPU (user): 5739.468749999999	CPU (sys): 3737.15625	RAM: 288.03515625
CPU (user): 5745.468749999999	CPU (sys): 3742.71875	RAM: 289.1015625
CPU (user): 5761.296874999999	CPU (sys): 3754.015625	RAM: 277.4921875
CPU (user): 5787.374999999999	CPU (sys): 3770.84375	RAM: 281.03515625
CPU (user): 5811.031249999999	CPU (sys): 3786.421875	RAM: 277.328125
CPU (user): 5817.703124999999	CPU (sys): 3792.328125	RAM: 265.9296875
CPU (user): 5858.031249999999	CPU (sys): 3817.28125	RAM: 276.8515625
CPU (user): 5888.281249999999	CPU (sys): 3837.234375	RAM: 285.921875
CPU (user): 5914.171874999999	CPU (sys): 3853.828125	RAM: 276.41796875
CPU (user): 5922.781249999999	CPU (sys): 3860.859375	RAM: 291.48828125
CPU (user): 5934.812499999999	CPU (sys): 3868.84375	RAM: 291.48828125
CPU (user): 5960.515624999999	CPU (sys): 3884.78125	RAM: 296.5703125
CPU (user): 5968.624999999999	CPU (sys): 3891.078125	RAM: 295.29296875
CPU (user): 5976.171874999999	CPU (sys): 3896.078125	RAM: 291.48828125
CPU (user): 5988.656249999999	CPU (sys): 3904.15625	RAM: 296.61328125
CPU (user): 5994.312499999999	CPU (sys): 3908.046875	RAM: 304.56640625
CPU (user): 6046.1875	CPU (sys): 3939.375	RAM: 300.4921875
CPU (user): 6056.9375	CPU (sys): 3945.9375	RAM: 304.56640625
CPU (user): 6061.921875	CPU (sys): 3949.40625	RAM: 283.14453125
CPU (user): 6066.5	CPU (sys): 3952.953125	RAM: 277.6171875
CPU (user): 6071.921875	CPU (sys): 3956.09375	RAM: 277.12109375
CPU (user): 6083.203125	CPU (sys): 3963.265625	RAM: 286.55859375
CPU (user): 6137.84375	CPU (sys): 3998.1875	RAM: 294.390625
CPU (user): 6160.109375	CPU (sys): 4010.9375	RAM: 273.83984375
CPU (user): 6183.671875	CPU (sys): 4024.359375	RAM: 286.88671875
CPU (user): 6201.359375	CPU (sys): 4033.875	RAM: 276.73828125
CPU (user): 6209.234375	CPU (sys): 4038.78125	RAM: 286.29296875
CPU (user): 6243.359375	CPU (sys): 4058.78125	RAM: 313.5703125
CPU (user): 6290.859375	CPU (sys): 4087.84375	RAM: 306.3203125
CPU (user): 6313.390625	CPU (sys): 4099.734375	RAM: 294.15625
CPU (user): 6352.6875	CPU (sys): 4124.515625	RAM: 300.4140625
CPU (user): 6385.0	CPU (sys): 4144.046875	RAM: 288.9296875
